新闻频道,#genre#
TVBS HD,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv073
TVBS新闻台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv072
中天新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv009
中天亚洲台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv109
台视新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv051
华视新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv052
中视新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv074
非凡新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv010
镜新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv075
东森新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv152
东森财经新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv153
半岛新闻,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-ftv10
民视新闻台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-ftv13
寰宇新闻台,http://211.72.65.236:8547/.m3u8
寰宇新闻台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn14
台视,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv066
民视,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv002
民视,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv155
中视,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv040
华视,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv041
靖天资讯台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv065

影视频道,#genre#
MTV Live HD, https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/213
影迷數位電影台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv011
AMC电影台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv017
CATCHPLAY电影台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv076
靖天电影台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv061
龙华电影,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn03
龙华日韩,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn11
采昌影剧,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv049
民视影剧,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-ftv09
龙华经典,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn21
中视经典,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv080
靖洋戏剧台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv045
靖天戏剧台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv058
公视戏剧,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv042
龙华戏剧,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn18
Cinemax,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/thetv/cinemax

体育频道,#genre#
NBA,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/beesport/NBA_TV_Live_TV

少儿频道,#genre#
MOMO亲子台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/231
东森幼幼台,https://epg.pw/stream/de717f629316508933939cc9d90e62b3a86d6377aff1ca390e1717e68c960eb4.m3u8
靖天卡通台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv044
靖天日本台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv047
靖洋卡通台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv057
靖天国际台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv063
靖天映画,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv055
龙华卡通,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn01
i-Fun动漫,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-ftv15
古典音乐台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv059
Nick Jr儿童,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/219
DreamWorks梦工厂,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/282
儿童卡通台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/269
经典卡通台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/202

综艺频道,#genre#
爱尔达娱乐,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv070
龙华偶像,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn12
民视综艺,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv004
民视第一台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv003
民视旅游,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-ftv07
亚洲旅游台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn17
視納華仁紀實頻道,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv013
中视菁采,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv064
八大精彩台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv034
八大综艺台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv039
TVBS精采台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv067
TVBS欢乐台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv068
靖天欢乐台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv054
靖天综合台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/4gtv-4gtv046


英语频道,#genre#
生活英语台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/litv/litv-longturn20
LiveABC 互动英语台,https://desperate-alejandrina-sunnypoll-538a03a7.koyeb.app/4gtv/188

