央视频道,#genre#
CCTV1综合,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-1-HD-265-8M.m3u8
CCTV2财经,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-2-HD-265-8M.m3u8
CCTV3综艺,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-3-HD-265-8M.m3u8
CCTV4中文国际,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-4-HD-265-8M.m3u8
CCTV5体育,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-5-HD-265-8M.m3u8
CCTV5+体育赛事,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-5PLUS-HD-265-8M.m3u8
CCTV6电影,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-6-HD-265-8M.m3u8
CCTV7国防军事,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-7-HD-265-8M.m3u8
CCTV8电视剧,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-8-HD-265-8M.m3u8
CCTV9纪录,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-9-HD-265-5M.m3u8
CCTV10科教,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-10-HD-265-8M.m3u8
CCTV11戏曲,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=H265-5500k-1080P-cctv11.m3u8
CCTV12社会与法,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-12-HD-265-8M.m3u8
CCTV13新闻,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-13-CQ.m3u8
CCTV14少儿,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=HD-8000k-1080P-cctv14.m3u8
CCTV15音乐,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=H265-5500k-1080P-cctv15.m3u8
CCTV16奥林匹克,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-16-CQ.m3u8
CCTV16-4K,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-16-4K.m3u8
CCTV17农业农村,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-17-HD.m3u8
CCTV4K,http://123.6.102.32:11789/tmp/0725/jsyd.php?id=G_CCTV-4K-HD.m3u8

CCTV4K,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV8K,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2020603421.m3u8

CCTV1综合,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv1
CCTV2财经,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv2
CCTV3综艺,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv3
CCTV4中文国际,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv4
CCTV5体育,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv5
CCTV5+体育赛事,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv5p
CCTV6电影,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv6
CCTV7国防军事,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv7
CCTV8电视剧,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv8
CCTV9纪录,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv9
CCTV10科教,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv10
CCTV11戏曲,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv11
CCTV12社会与法,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv12
CCTV13新闻,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv13
CCTV14少儿,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv14
CCTV15音乐,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv15
CCTV16奥林匹克,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv16
CCTV17农业农村,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv17
CCTV4K,http://123.win14.eu.org:18975/api/cqyx_023.php?id=cctv4k


CCTV1综合,http://110.42.66.7:8864/Chinaxgj.php?id=cctv1
CCTV2财经,http://110.42.66.7:8864/Chinaxgj.php?id=cctv2
CCTV3综艺,http://110.42.66.7:8864/Chinaxgj.php?id=cctv3
CCTV4中文国际,http://110.42.66.7:8864/Chinaxgj.php?id=cctv4
CCTV5体育,http://110.42.66.7:8864/Chinaxgj.php?id=cctv5
CCTV6电影,http://110.42.66.7:8864/Chinaxgj.php?id=cctv6
CCTV7国防军事,http://110.42.66.7:8864/Chinaxgj.php?id=cctv7
CCTV8电视剧,http://110.42.66.7:8864/Chinaxgj.php?id=cctv8
CCTV9纪录,http://110.42.66.7:8864/Chinaxgj.php?id=cctv9
CCTV10科教,http://110.42.66.7:8864/Chinaxgj.php?id=cctv10
